Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description,Manufacture Part Number,Side
B1,PTS810 SJK 250 SMTR LFS,TopLayer,PTS810_SJK_250_SMTR_LFS,2.6416,10.3378,270,SWITCH TACTILE SPST-NO 0.05A 16V Tactile Switch SPST-NO Top Actuated Surface Mount,PTS810SJK250SMTRLFS,Top
C1,100nF 16V,TopLayer,CAPC1608X95X40NL15T15,4.064,58.532,270,,CC0603KRX7R7BB104,Top
C2,10nF 16V,TopLayer,CAPC1608X87X35ML15T15,7.874,63.681,0,,CC0603KRX7R7BB103,Top
C3,100nF 16V,TopLayer,CAPC1608X95X40NL15T15,5.271,62.534,270,,CC0603KRX7R7BB104,Top
C4,4.7uF 16V,TopLayer,CAPC0805(2012)145_N,3.81,63.184,270,CAP 4.7uF 16V -20% to +80% 0805 (2012 Metric) Thickness 1.45mm SMD,CC0805ZKY5V7BB475,Top
C5,47pF 16V,TopLayer,CAPC0603(1608)100_N,8.065,59.771,0,CAP 47pF 16V ㊣0.5pF 0603 (1608 Metric) Thickness 1mm SMD,0603YA470KAT2A,Top
C6,47pF 16V,TopLayer,CAPC0603(1608)100_N,13.462,58.928,90,CAP 47pF 16V ㊣0.5pF 0603 (1608 Metric) Thickness 1mm SMD,0603YA470KAT2A,Top
C7,100nF 16V,TopLayer,CAPC1608X95X40NL15T15,7.065,57.066,270,,CC0603KRX7R7BB104,Top
C8,180uF,TopLayer,CAP_16SVPF180M,34.4061,47.0321,0,,16SVP180M,Top
C9,CAP 100nF 50V,TopLayer,CAPC0805(2012)100_L,33.5788,64.7795,0,CAP 100nF 50V ㊣5% 0805 (2012 Metric) Thickness 1mm SMD,08055C104JAT2A,Top
C10,10uF 16V,TopLayer,FP-0805-L_2_01_0_2-W_1_25-IPC_A,15.3445,25.7048,0,"General Purpose Ceramic Capacitor, 0805, 10uF, 10%, X5R, 15%, 16V",C2012X6S1C106K125AC,Top
